refernce_id	article id	section_id	section_title	is_this_sub_section
1	pcl722	lv_0004	Epidemiology	1
2	pcl722	lv_0005	Prevention of injuries and illnesses	1
3	pcl722	lv_0006	Preparticipation Evaluation and Anticipatory Guidance	0
4	pcl722	lv_0007	Basic Survival Skills	0
5	pcl722	lv_0008	Prevention of specific conditions	1
6	pcl722	lv_0009	Hypothermia, Trench Foot, and Frostbite	0
7	pcl722	lv_0010	Lightning Safety	0
8	pcl722	lv_0011	Sunburn	0
9	pcl722	lv_0012	Dehydration, Heat Exhaustion, and Heat Stroke	0
10	pcl722	lv_0013	Traveler's Diarrhea	0
11	pcl722	lv_0014	Blisters	0
12	pcl722	lv_0015	Sprains, Strains, and Fractures	0
13	pcl722	lv_0016	Bites and Stings	0
14	pcl722	lv_0017	Wilderness Stress	0
15	pcl722	lv_0018	Altitude Illness	0
16	pcl722	lv_0019	Summary	1
17	pcl722	lv_0020	References	1
18	pcl723	lv_0004	Use and complications with manual medicine	1
19	pcl723	lv_0005	Methods and barriers to sound research	1
20	pcl723	lv_0006	Barrier concepts in the evaluation of pediatric patients	1
21	pcl723	lv_0007	Pediatric considerations and specific osteopathic techniques	1
22	pcl723	lv_0008	High- and Low-Velocity, Low-Amplitude Techniques	0
23	pcl723	lv_0009	Muscle Energy	0
24	pcl723	lv_0010	Strain-Counterstrain Techniques	0
25	pcl723	lv_0011	Myofascial Approaches	0
26	pcl723	lv_0012	Specific conditions	1
27	pcl723	lv_0013	Cervical Spine	0
28	pcl723	lv_0014	Chest Wall Syndromes	0
29	pcl723	lv_0015	Thoracic outlet syndrome	0
30	pcl723	lv_0016	Chest wall pain	0
31	pcl723	lv_0017	Scoliosis	1
32	pcl723	lv_0018	Low back pain	1
33	pcl723	lv_0019	Upper extremity	1
34	pcl723	lv_0020	Lower extremity	1
35	pcl723	lv_0021	Cuboid syndrome	1
36	pcl723	lv_0022	Summary	1
37	pcl723	lv_0023	Acknowledgments	1
38	pcl723	lv_0024	References	1
39	pcl724	lv_0004	Preparticipation considerations	1
40	pcl724	lv_0005	The athlete	1
41	pcl724	lv_0006	The family and the athletic staff	1
42	pcl724	lv_0007	The sport	1
43	pcl724	lv_0008	Teammates and coach	1
44	pcl724	lv_0009	Exercise physiology	1
45	pcl724	lv_0010	Implications of diabetes complications	1
46	pcl724	lv_0011	Hypoglycemia and Ketoacidosis	0
47	pcl724	lv_0012	Ocular Changes	0
48	pcl724	lv_0013	Neuropathy	0
49	pcl724	lv_0014	Other	0
50	pcl724	lv_0015	Diabetes management for the athlete	1
51	pcl724	lv_0016	Insulin and Insulin Regimens	0
52	pcl724	lv_0017	Carbohydrates for Hypoglycemia	0
53	pcl724	lv_0018	Modulation of Insulin Delivery for Exercise	0
54	pcl724	lv_0019	Glucagon	0
55	pcl724	lv_0020	Resources	1
56	pcl724	lv_0021	Summary	1
57	pcl724	lv_0022	References	1
58	pcl725	lv_0004	Mechanism of action	1
59	pcl725	lv_0005	Salicylated NSAIDs	1
60	pcl725	lv_0006	Nonsalicylated NSAIDs	1
61	pcl725	lv_0007	Side effects of nonsalicylated NSAIDs	1
62	pcl725	lv_0008	Gastrointestinal	0
63	pcl725	lv_0009	Hepatotoxicity	0
64	pcl725	lv_0010	Renal Toxicity	0
65	pcl725	lv_0011	Cardiovascular Toxicity	0
66	pcl725	lv_0012	Drug Interactions	0
67	pcl725	lv_0013	Efficacy of NSAIDs in musculoskeletal injuries	1
68	pcl725	lv_0014	Topical NSAIDs	1
69	pcl725	lv_0015	Acetaminophen	0
70	pcl725	lv_0016	Topical nonprescription analgesics	1
71	pcl725	lv_0017	Methyl Salicylate	0
72	pcl725	lv_0018	Camphor	0
73	pcl725	lv_0019	Menthol	0
74	pcl725	lv_0020	Capsaicin	0
75	pcl725	lv_0021	Others	0
76	pcl725	lv_0023	Use and abuse of analgesics	1
77	pcl725	lv_0024	Summary	1
78	pcl725	lv_0025	Acknowledgments	1
79	pcl725	lv_0026	References	1
80	pcl726	lv_0004	Physiology	1
81	pcl726	lv_0005	The Role of Gender	0
82	pcl726	lv_0006	Effect of Puberty	0
83	pcl726	lv_0007	IDA	1
84	pcl726	lv_0008	SUI	1
85	pcl726	lv_0009	Breast issues	1
86	pcl726	lv_0010	Effect of Exercise	0
87	pcl726	lv_0011	Pain	0
88	pcl726	lv_0012	Asymmetry	0
89	pcl726	lv_0013	Galactorrhea	0
90	pcl726	lv_0014	Menstruation and sports	1
91	pcl726	lv_0015	Menstrual Physiology	0
92	pcl726	lv_0016	Menstrual Cycles and Athletic Performance	0
93	pcl726	lv_0017	Amenorrhea	0
94	pcl726	lv_0018	Oral Contraceptives and Athletic Performance	0
95	pcl726	lv_0019	Exercise and pregnancy	1
96	pcl726	lv_0020	Female athlete triad	1
97	pcl726	lv_0021	Disordered Eating	0
98	pcl726	lv_0022	Anorexia Nervosa	0
99	pcl726	lv_0023	Osteoporosis and Adolescence	0
100	pcl726	lv_0024	Injuries	1
101	pcl726	lv_0025	Breast injuries	1
102	pcl726	lv_0026	Nipple Injury	0
103	pcl726	lv_0027	Other Breast Injury	0
104	pcl726	lv_0028	Summary	1
105	pcl726	lv_0029	References	1
106	pcl727	lv_0004	Methods of gene therapy or doping	1
107	pcl727	lv_0005	Candidates for gene doping	1
108	pcl727	lv_0006	Genes for Endurance	0
109	pcl727	lv_0007	Genes for Strength	0
110	pcl727	lv_0008	Genes for Tissue Repair/Other	0
111	pcl727	lv_0009	Gene doping in practice—animal models	1
112	pcl727	lv_0010	Gene doping in theory—human models	1
113	pcl727	lv_0011	Performance Mutations and Polymorphisms	0
114	pcl727	lv_0012	Risks of gene doping	1
115	pcl727	lv_0013	Detection strategies	1
116	pcl727	lv_0014	Direct Approach	0
117	pcl727	lv_0015	Indirect Approach	0
118	pcl727	lv_0016	Summary	1
119	pcl727	lv_0017	References	1
120	pcl729	lv_0004	Protection for consumers	1
121	pcl729	lv_0005	Definitions	1
122	pcl729	lv_0006	Anabolic steroids	1
123	pcl729	lv_0007	Epidemiology	0
124	pcl729	lv_0008	Effects	0
125	pcl729	lv_0009	Adverse Effects	0
126	pcl729	lv_0010	Use of Additional or Concomitant Doping Agents	0
127	pcl729	lv_0011	Prevention	0
128	pcl729	lv_0012	Other Anabolic-like Agents	0
129	pcl729	lv_0013	DHEA	0
130	pcl729	lv_0014	Androstenedione	0
131	pcl729	lv_0015	Human growth hormone (hGH)	0
132	pcl729	lv_0016	γ-Hydroxybutyrate	0
133	pcl729	lv_0017	Clenbuterol	0
134	pcl729	lv_0018	Others	0
135	pcl729	lv_0019	Creatine	1
136	pcl729	lv_0020	Stimulants	1
137	pcl729	lv_0021	Ephedrine	0
138	pcl729	lv_0022	Caffeine	0
